battery_id,cycle,cell_voltage,pack_voltage,pack_current,cell_temperature,soc,dod,c_rate,soh_pct,rul_cycles
101,1,3.228,355.08,38.50,31.2,78.4,22.0,0.38,100.00,3600
101,2,3.221,354.31,41.75,32.4,77.1,23.6,0.42,99.98,3598
101,3,3.214,353.56,45.20,33.1,75.9,25.1,0.45,99.97,3596
101,4,3.208,352.90,48.60,34.0,74.6,26.8,0.49,99.95,3594
101,5,3.202,352.18,51.10,35.1,73.4,28.2,0.51,99.93,3591
102,1,3.236,356.12,32.10,29.8,80.1,20.5,0.32,100.00,3820
102,2,3.229,355.36,35.45,30.5,78.8,22.1,0.35,99.99,3818
102,3,3.223,354.74,37.90,31.0,77.6,23.7,0.38,99.97,3815
102,4,3.217,354.05,40.80,31.8,76.3,25.3,0.41,99.95,3812
102,5,3.210,353.24,44.30,32.6,75.0,27.0,0.44,99.93,3809
